Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,183,,10493,,,0
H4,2016,2016,2016,6,1,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,183,,10493,,,0
H4,2016,2016,2016,6,1,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,108084,,,,1573044,,3517848,,,0
H4,2016,2016,2016,6,1,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,2958,,,,44044,,94021,,,4
H4,2016,2016,2016,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,24305724,,208223618,,,0
H4,2016,2016,2016,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,2152685,,4115446,,,4
H4,2016,2016,2016,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,138937,,,,1561582,,5001122,,,0
H4,2016,2016,2016,6,1,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,948,,,,30692,,110265,,,0
H4,2016,2016,2016,6,1,3,Re-Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,750,,,,19707,,72704,,,0
H4,2016,2016,2016,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,18897,,,,230571,,822190,,,0
